1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"Andrássy László Zsolt ev. ""Andrássy 2 Motoros és Autósiskola""",3944,"3943 Bodrogolas zi, Vasút u. 38/a",Andrássy László Zsolt,12316,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angeli Autósiskola Kft.,4223,"1225 Budapest, Angeli utca 75.",Tauszky Péter Fülöpné,11409,,,,,x,,,,x,x,,,x,,,,,x,,,,x,x,x,,,,,,,,,,,,,x,x,
"Angyal Zsolt Zoltán ev. ""Angyal Zsolt Autósiskola""",6505,"3121 Somoskőújf alu, Nyárfa út 2.",Angyal Zsolt Zoltán,10030,x,,,x,x,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Antal-Ka Oktató Kft.,650,"2132 Göd, IV. Béla király út 36/a.",Medgyesi Antalné,10921,,x,,x,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aranyosi Attila egyéni vállalkozó ""Aranyosi Autósiskola""",3558,"2536 Nyergesújfa lu, Tó út 3. I. lh. I/3.",Aranyosi Attila,10036,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Árendás Gábor ev,4017,"2724 Újlengyel, Petőfi Sándor u. 47/A",Klemencz József,10273,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARTUMNET Kft. ""ARTUMNET Autósiskola""",6912,"1105 Budapest, Kelemen u. 4/B 1/3.",Tokai Ildikó,11418,,,,,x,,,,x/elm,,,,x/el m,,,,,,,,,,,,,,,,,,,,,,,,,,
Árvai András egyéni vállalkozó,9687,"3900 Szerencs, Kilián tér 2.",Árvai András,10039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
ASTRA Plusz 96 Kereskedelmi és Szolgáltató Bt.,3659,"4531 Nyírpazony, Kabalás 0103/6",Borbély János,10177,x,x,x,x,x,x,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRA-PLUSZ Autósiskola Bt,4073,"5900 Orosháza, Hajnal köz 8. 2. em. 8.",Tóth Árpád,11427,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASZUCAR Autósiskola Kft. ""AszuCar Autósiskola""",8911,"6000 Kecskemét, Akadémia körút 33. 4.em.10.",Tóth Pál,11449,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atád Autós Motoros Iskola Kft.,3626,"7500 Nagyatád, Selmecbán yai u. 14.",Horváth Istvánné,10547,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,x,x,x,,x,,,,,,,x,,,
ATI Autóközlekedési Tanintézet Kft. (Győr),3378,"9024 Győr, Zrínyi út 21.",Miltner András,12248,x,x,x,x,x,x,,,x,x,,,x,,x,,,x,x,,x,x,x,x,,,,,,,,,,,,,,,
ATI EXTRA Kft.,9940,"3200 Gyöngyös, Köztársasá g tér 9.",Paréj Sándor,11109,,,,,x,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
ATI Megyei Autóközl.Taninté zet Veszprém Kft.,3799,"8200 Veszprém, Kádártai u. 33.",Gulyás Péter,10460,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,x,x,x,,x,,,,,,,x,,,
ATI OKTATÓ Kereskedelmi és Szolgáltató Kft.,652,"1031 Budapest, Szentendrei út 34. fszt.",Vigné Lövei Juliánna,11533,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Pécs Kereskedelmi és Szolgáltató Kft.,7923,"7623 Pécs, Jókai Mór u. 40. 3/1.",Jovánovic s Milán,12376,x,x,,x,x,x,,,x,x,,,x,,,,,x,x/új,,,x,,,,,,,,,,,,,,,,,
ATI- CSÁSZÁRNÉ Autósiskola Zrt.,9943,"6722 Szeged, Moszkvai körút 11. (6701 Szeged, Pf.944.)",Császár Illésné,10225,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
ATI-Császárné Kft.,3291,"6722 Szeged, Moszkvai krt. 11. (6701 Szeged, PF: 44)",Császár Illésné,10225,x,x,x,x,x,x,,,x,x,,,x,,,,,x,x,,x,x,x,x,x,x,,,x,,,x,,,,x,x,x,
ATI-GKT Gpjárművezető- képző és Továbbképző Kft.,107,"1124 Budapest, Dobsinai u. 14.",Pálosi György,11093,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI-NOVA Gépjárművezető -oktató Kft.,3116,"6000 Kecskemét, Ballószög tanya 256/A",Szabó László,12321,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attlex Tech Plusz Kft. ""Jogsid lesz Autós- Motorosiskola""",4301,"8130 Enying, Malom utca 20.",Szucsáki Áron,12309,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURUM Oktatási Központ Szolgáltató Kft.,3838,"8200 Veszprém, Bajcsy-Zs. E. u. 15.",Egyed Attila,10312,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
"Auth József ev. ""Sztráda 11 Autósiskola""",3734,"7140 Bátaszék, Béke sor 5.",Auth József,10044,x,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autó 60 Kereskedelmi és Szolgáltató Bt.,3489,"3000 Hatvan, Kertész u. 93.",Füredi György,10402,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoBooking Kft.,4356,"2120 Dunakeszi, Mikes Kelemen utca 12.",Tóth Tibor József,12351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
AUTOBOX HUNGARY Kft.,7105,"3980 Sátoraljaújh ely, Pacsirta u. 12.",Magyar Bertalan,10887,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Autóközlekedési Tanintézet Kft. (Szf.),3340,"8000 Székesfehé rvár, Palotai út 5.",Kovács Tibor,10793,,x,,x,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Automata Autósiskola Korlátolt Felelősségű Társaság,4407,"2367 Újhartyán, Kertész utca 2.",Balázs péter György,12322,x/elm .,x/elm,x/el m,x/el m,x,x/elm,,,x/elm,x/elm,,,x/el m,,,,,,,,,,,,,,,,,,,,,,,,,,
Autó-Mobil 06 Kft.,3833,"8330 Sümeg, Öreghegy 7439 hrsz.",Szabó Győző Sándor,11287,x,x,,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Automobil-2003 Járművezető- képző Bt.,3426,"4024 Debrecen, Veresegyhá zi Tamás u. 5/b.",Simonné Varga Mária,11240,,x/elm .,,x/el m.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMOTIVE Bt.,3273,"3528 Miskolc, Rét u. 4.",Taksás József,11395,,x,,x,x,x,,,x,x,,,x,,,x,,x,x/új,,x/új,x,,,,,,,,,,,,,,x,,,
AUTO- MOTORIST 2 Bt.,7943,"3200 Gyöngyös, Jókai Mór u. 20.fszt.2.",Lehoczky Imre István,10853,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTÓPLAY ATI Autósiskola Kft.,8702,"8000 Székesfehé rvár, Prohászka u. 26. 2/1.",Alexa János,10012,x,x,x,x,x,x,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTÓ-PLUSZ- DRIVER Kft.,109,"1139 Budapest, Petneházy u. 16-18. fszt. 47.",Fally Gyula János,10328,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Autóstréning Járművezető- képző, Oktató Bt.",3181,"5800 Mezőkovác sháza, Alkotmány u. 56-1.",Ozsvár Gábor Péter,11070,x,x,x,x,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Autótempó 95' Autós Iskola Bt.,3584,"3100 Salgótarján, Pécskő út 12. mfsz. 7/a",Putnok János,11161,x,,,,x,,,,x/elm .,x/elm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuTÓTh Iskola Korlátolt Felelősségű Cég,3351,"2400 Dunaújváro s, Vasmű út 39. II.em. 208.",Tóth György,11440,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autozone Autósiskola Gépjárművezető -képző Kft.,8802,"1183 Budapest, Móricz Zsigmond u. 52.",Gyöngyösi Zoltán Gábor,10466,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvAnti Car Kft.,8742,"1188 Budapest, Póth Irén u. 106. B. ép.",Bartucz Antal,10108,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avas Gépjárművezető -képző BT.,3221,"3711 Szirmabese nyő, Petőfi u. 34.",Verhóczky László,11525,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
Árvay Kornél Gábor egyéni vállalkozó,4958,"9726 Velem, Rákóczi u. 44.",Árvay Kornél,12449,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachusz József egyéni vállalkozó ""Bachusz Autósiskola""",673,"1222 Budapest, Háros u. 26.",Bachusz József,10045,,x,,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,x,,,
Bácska Autósiskola Kft.,3143,"6430 Bácsalmás, Kossuth u. 104.",Bartos József,10105,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Bács-Szakma Non-profit Közhasznú Zrt.,7003,"6500 Baja, Pásztor u. 32.",Peták Zoltán,11127,x,x,x,x,x,,,,x,x,,,x,,,x,,x,,,,x,,,,,,,,,,,,,,x,,,
"Badar István egyéni vállalkozó ""ZEBRA Autósiskola""",3679,"4300 Nyírbátor, Encsencsi u. 40.",Badar István,10046,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAG-BAND Oktató Bt.,655,"2191 Bag, Sport u. 10.",Kovács Győző,10762,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bagi Erzsébet ev. ""Easy Driving Autósiskola""",4264,"4841 Jánd, Rákóczi u. 70.",Török Imre,11462,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bagi László Mihály ev. ""BRILL Autósiskola""",5055,"5055 Jászladány, Sas u. 2.",Bagi Lászó Mihály,10049,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGOLY Oktatási Kft.,9688,"3527 Miskolc, Bajcsy- Zsilinszky út 15. II/204.",Roskó Miklós,11196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
"BAHAGA Kft. ""BAKSAI Autósiskola""",9966,"8220 Balatonalm ádi, Lehel u. 27.",Baksai Gábor József,10057,,x/elm .,,x/el m.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajai László ev. ""Bajai László Autósiskola""",3916,"8200 Veszprém, Tüzér u. 47/A.",Bajai László,12252,x/elm .,x/elm .,x/el m.,x/el m.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajáki Attila Mátyás ev.""Bajáki Attila Magán autósiskola""",3145,"6100 Kiskunféleg yháza, Desewffy u. 18/B.",Bajáki Attila Mátyás,10051,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
"Baka Károly Erik ev ""Baka Károly Erik Autósiskola""",4268,"2310 Szigetszent miklós, Híradó u. 127.",Bernát Richárd Norbert,12193,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baksa Tamás ev. ""Bak-Ta Autósiskola""",4066,"7171 Sióagárd, József Attila u. 10.",Göbl András,12080,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balassagyarmati Központi Autósiskola Kft.,4156,"2660 Balassagya rmat, Fáy András utca 9.",Bak Sándor,12039,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balaton Autósiskola Kft,4416,"8600 Siófok, Kristály utca 39",Horváth Zsolt,12400,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balikó Ákos egyéni vállalkozó,4406,"7636 Pécs, Kis-réti út 15. 4. emelet 15.",Trinter Katalin,12064,,,,,x/gya k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balikó György Zsolt ev. ""BALIKÓ Autósiskola""",6411,"5630 Békés, Hajnal u. 63/1.",Balikó György Zsolt,10063,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bálint László egyéni vállakozó,120,"1181 Budapest, Havanna u. 51. IV/16.",Bálint László,10066,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALOGH OKTATÁSI Stúdió Kft.,6603,"3529 Miskolc, Bem J. u. 8.",ifj. Balogh Gábor,10070,,,,,,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,
Balogh Oktató Kft.,3252,"3635 Dubicsány, Kossuth Lajos út 32.",Verhóczki Péter,11526,,x,,x,x,,,,x,x,,,x,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,
Balogh Pál egyéni vállalkozó,4420,"4900 Fehérgyarm at, Dózsa Gy. u. 4.",Balogh Pál,13032,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balogh Tibor egyéni vállalkozó ""Privát Autósiskola""",3518,"3200 Gyöngyös, Kakastánc u. 26.",Balogh Tibor,10078,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balogh Tibor ev. ""Balogh Tibor Autósiskola""",3905,"1174 Budapest, Baross u. 69.",Balogh Tibor,10079,x,x,x,x,x,,,,x/elm,x/elm,,,x/el m,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balogh Tibor ev. ""Citrom 2 Autósiskola""",3240,"3529 Miskolc, Sibrik Miklós u. 25.",Balogh Tibor,10080,x,x,x,x,x,x,,,x,x,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,
"Balogh Zoltán egyéni vállalkozó ""RASTA Autósiskola""",6078,"3383 Hevesvezek ény, Fő út 7.",Balogh Zoltán,11634,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baloghné Jenei Magdolna Mária ev. ""Rasdos Autósiskola""",3977,"3383 Hevesvezek ény, Fő út 7.",Balogh Zoltán,11634,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baloghné Szilágyi Anikó ev. ""Balogh Nonstop Autósiskola""",4392,"4100 Berettyóújfa lu, Rákóczi u. 34.",Baloghné Szilágyi Anikó,12308,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balyi Zoltán ev. ""Totáljogsi Autósiskola""",3962,"1039 Budapest, Bajtárs u. 62.",Kapitány Tibor Árpád,11999,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
